Etymon pt-PT	hiTenTen21 Relative (1)	hiTenTen21 Absolute (1)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Headword	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
mestre				mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		मिस्तरी	mistarī	مستری	noun			skilled tradesman	education	leadership and authority								mesa
mestre				mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		मिस्त्री	mistarī	مستری	noun	(Delhi) IPA(key): /mɪs.t̪ɾiː/	m.	skilled tradesman	education	leadership and authority								mestiço
mestre				mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)		मिस्त्री	mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	education	leadership and authority	masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो	mestre
outubro	20.58	18,552		NA	outubro (Source: Wiktionary);  English October (Source: McGregor)	outubro (Source: Wiktionary);  English October (Source: McGregor)	 English October (Source: McGregor)	अक्तूबर	aktūbara	اَکْتُوبَر⁩	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	calendar	month								mestre
padre	5.53	4980		padre	padre (Source: Dalgado)	padre (Source: Dalgado)		पादरी	pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	religion	practices, beliefs and rituals	masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो	mestre
pão				pão	pão (Source: Dalgado); Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	pão (Source: Dalgado); Sanskrit पद्  (Source:McGregor)	Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	पाव-रोटी	pāv-rotī		noun		f.	loaf of bread	culinary	food / baked goods								outubro
papaia				papaia	papaia (Source: Dalgado); 	papaia (Source: Dalgado); 		पपीता	papītā	پپیتا	noun		m.	papaya	botany	fruits								padre
peru				peru	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	Persian  پِیل مُرْغ (Source:Dasa)	पीरू	pīrū	پیرو	noun	(Delhi) IPA(key): /piː.ɾuː/	m.	turkey										pão
pipa	?0.93	?834		pipa	pipa (Source: Dalgado)	pipa (Source: Dalgado)		पीपा	pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask		containers	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो	papaia
pires				pires	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	English press (Source: Wiktionary, McGregor)	पिरिच	piric	پرچ	noun	(Delhi) IPA(key): /pɪ.ɾɪt͡ʃ/	m.	saucer  & a flat surface (as used in pressing out indigo)	household	tableware								peru
pistola	6.07	5,470		pistola	pistola (Source: Dalgado); English pistol (Source: Dalgado)	pistola (Source: Dalgado); English pistol (Source: Dalgado)	English pistol (Source: Dalgado)	पिस्तौल	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	military	weapons, explosives, devices	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो	pipa
polícia				? polícia	? polícia (Source: Dalgado); English police (Source: D, McGregor)	? polícia (Source: Dalgado); English police (Source: D, McGregor)	English police (Source: D, McGregor)	पुलिस	pulis	پولس	noun	(Delhi) IPA(key): /pʊ.lɪs/	f.	the police										pires
pompa	0.34	304						बंबा	bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek			masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो	pistola
prato				prato	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) 	Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	परात	parāt	پرات	noun	(Delhi) IPA(key): /pə.ɾɑːt̪/, [pɐ.ɾäːt̪]	f.	receipt	tableware									polícia
querubim				querubim	querubim (Source: Dalgado)	querubim (Source: Dalgado)		करूबीम		کَرُوبِیم	noun			cherubim										prato
recibo				recibo	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	Persian رسید (Source: McGregor)	रसीद	rasīd	رسید	noun	(Delhi) IPA(key): /ɾə.siːd̪/, [ɾɐ.siːd̪]	f.	receipt	commerce and business	financial transactions								prego
sabão				sabão	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	साबुन	sābun	صابن	noun	(Delhi) IPA(key): /sɑː.bʊn/, [säː.bʊ̃n]	m.	soap	cleaning and hygiene									querubim
sagu				? sagu	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	Indonesian sagu (Source: McGregor)	सागू	sāgū	ساگو	noun	(Delhi) IPA(key): /sɑː.ɡuː/, [säː.ɡuː]	m.	sago										recibo
saia				saia	saia (Source: Dalgado)	saia (Source: Dalgado)		साया	sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	clothing	clothing items	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो	sabão
salada				salada	salada (Source: Dalgado); French salade (Source: McGregor)	salada (Source: Dalgado); French salade (Source: McGregor)	French salade (Source: McGregor)	सलाद	salād		noun		m.	salad										sagu
salsaparrilha	?0.33	 ?297		NA				सालसा	sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	botany	plants								saia
setembro	142.28	128,243		NA	setembro (Source: Wiktionary); English September (Source: McGregor)	setembro (Source: Wiktionary); English September (Source: McGregor)	English September (Source: McGregor)	सितंबर	sitambara	ستمبر	noun		m.	September	calendar	month								salada
sorte				sorte	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	Arabic شَرْط (Source: Wiktionary)	शर्ती	śart	شرط	noun	(Delhi) IPA(key): /ʃəɾt̪/, [ʃɐɾt̪]	f.	condition, requirement & wager, bet 										salsaparrilha
tabaco				tabaco	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	Persian تنباکو (Source: Wiktionary)	तंबाकू	tambākū	تنباکو 	noun	(Delhi) IPA(key): /t̪əm.bɑː.kuː/, [t̪ɐ̃m.bäː.kuː]	m.	tobacco										setembro
tambor				tambor	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	Persian tambūra (Source: McGregor)	तंबूरा	tānpūrā	تنپورا	noun	(Delhi) IPA(key): /t̪ɑːn.puː.ɾɑː/, [t̪ä̃ːn.puː.ɾäː]	m.	tanpura										sorte
toalha	3,33	3,006		toalha	toalha (Source: Dalgado); English towel (Source: McGregor)	toalha (Source: Dalgado); English towel (Source: McGregor)	English towel (Source: McGregor)	तौलिया	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel	household	textiles	masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो	tabaco
toronja				toronja	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	Persian turanj (Source: McGregor)	तुरंज	turanj	ترنج	noun		m.	a kind of citron										tambor
tufão				? tufão	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	Persian طوفان (Source: Wiktionary, McGregor)	तूफ़ान	tūfān	طوفان	noun	(Delhi) IPA(key): /t̪uː.fɑːn/, [t̪uː.fä̃ːn], /t̪uː.pʰɑːn/, [t̪uː.pʰä̃ːn]	m.	storm, tempest & hurricane										toalha
varanda	5.03	4,533		varanda	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	Persian bar āmada 'come forth' (Source: McGregor)	बरामदा	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	architecture		masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो	toronja
verruma				verruma	verruma (Source: Dalgado)	verruma (Source: Dalgado)		बरमा	barmā	برما	noun	(Delhi) IPA(key): /bəɾ.mɑː/, [bɐɾ.mäː]	m.	(tool) drill, borer										tufão
																								verruma
